0	0.00259642	0	0
0.00512663	0.00321375	-0.00141858	0.0221702
0.111835	0.0167226	0.0380136	0.357835
0.360768	0.0204162	0.00588496	1.79784
0.855948	0.019874	0.116691	7.89723
0.919647	0.0293114	-0.00868566	25.5036
4.87962	0.035457	0.390019	62.6025
14.3189	0.0534931	0.0605937	150.864
34.2598	0.0672525	0.851031	365.242
32.377	0.0716334	0.983681	774.837
67.24	0.0646702	-0.975421	1436.27
129.002	0.0613592	2.41174	2518.22
317.759	0.145264	3.8086	4233.83
487.517	0.102213	1.69785	6497.93
1346.17	0.157128	1.33429	9476.27
1377.56	0.139323	2.37348	13112
1292.15	0.140066	-1.27568	17062.6
1849.79	0.0247696	0.563667	21896
948.106	0.11852	0.888708	27914.6
2696.68	0.223691	-9.92805	35455.9
4526.95	0.226331	-7.21645	44576.2
2803.58	0.234474	-6.76601	56033.9
4538.23	0.148881	-3.06984	70177.8
2024.59	0.104829	0.281914	86901.6
3234.56	0.069785	0.427384	106718
9444.72	0.209941	-21.5888	128837
20224.8	0.290005	-44.8949	152048
23422.7	0.2306	-16.2704	174601
17036.1	0.371234	-24.735	194751
52374.9	0.228501	53.3678	213759
135255	0.155752	70.2765	229396
